
TOP 5 CONFIGS (sorted by best_val_accuracy):
==================================================
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4833, 'final_val_accuracy': 0.4803, 'mean_gap': 0.09967499999999999}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4813, 'final_val_accuracy': 0.4549, 'mean_gap': 0.11831538461538461}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.481, 'final_val_accuracy': 0.4652, 'mean_gap': 0.11843749999999999}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4805, 'final_val_accuracy': 0.4706, 'mean_gap': 0.10527500000000001}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4803, 'final_val_accuracy': 0.4701, 'mean_gap': 0.10960576923076923}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4802, 'final_val_accuracy': 0.4719, 'mean_gap': 0.08598181818181817}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4799, 'final_val_accuracy': 0.4793, 'mean_gap': 0.13973846153846153}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4765, 'final_val_accuracy': 0.4633, 'mean_gap': 0.07676250000000001}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4759, 'final_val_accuracy': 0.463, 'mean_gap': 0.1423220588235294}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4754, 'final_val_accuracy': 0.4634, 'mean_gap': 0.09565}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4732, 'final_val_accuracy': 0.47, 'mean_gap': 0.12234375}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4728, 'final_val_accuracy': 0.4568, 'mean_gap': 0.1669857142857143}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4724, 'final_val_accuracy': 0.4557, 'mean_gap': 0.12032727272727271}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4721, 'final_val_accuracy': 0.4673, 'mean_gap': 0.11639583333333332}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4719, 'final_val_accuracy': 0.4616, 'mean_gap': 0.1043}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4714, 'final_val_accuracy': 0.4706, 'mean_gap': 0.14971250000000003}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4703, 'final_val_accuracy': 0.4559, 'mean_gap': 0.14075535714285717}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4703, 'final_val_accuracy': 0.4682, 'mean_gap': 0.13147666666666666}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4702, 'final_val_accuracy': 0.4608, 'mean_gap': 0.14013076923076923}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4701, 'final_val_accuracy': 0.4562, 'mean_gap': 0.152025}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4682, 'final_val_accuracy': 0.4585, 'mean_gap': 0.15203}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4658, 'final_val_accuracy': 0.4535, 'mean_gap': 0.15512678571428573}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4656, 'final_val_accuracy': 0.465, 'mean_gap': 0.08357777777777775}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4645, 'final_val_accuracy': 0.459, 'mean_gap': 0.09902727272727274}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.464, 'final_val_accuracy': 0.4439, 'mean_gap': 0.11999615384615384}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4637, 'final_val_accuracy': 0.4576, 'mean_gap': 0.16807666666666668}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4622, 'final_val_accuracy': 0.4551, 'mean_gap': 0.14823666666666666}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4617, 'final_val_accuracy': 0.4546, 'mean_gap': 0.19183809523809522}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4616, 'final_val_accuracy': 0.4566, 'mean_gap': 0.06380416666666665}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4609, 'final_val_accuracy': 0.4457, 'mean_gap': 0.1483865384615385}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4606, 'final_val_accuracy': 0.4558, 'mean_gap': 0.10428863636363635}
